Ticker,Description,Currency,Sector,Industry Group,Industry,Sub_Industry
CS FP Equity,AXA SA,EUR,Financials,Insurance,Life Insurance,Life Insurance Premiums
RAI US Equity,Reynolds American Inc,USD,Consumer Staples,Consumer Products,Tobacco,Tobacco Products
ENI IM Equity,Eni SpA,EUR,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
DHR US Equity,Danaher Corp,USD,Health Care,Medical Equipment & Devices,Life Science Equipment,Analytical Lab Equipment
AMXL MM Equity,America Movil SAB de CV,MXN,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
ISP IM Equity,Intesa Sanpaolo SpA,EUR,Financials,Banking,Banks,Retail Banking
RBS LN Equity,Royal Bank of Scotland Group P,GBp,Financials,Banking,Diversified Banks,#N/A N/A
COP US Equity,ConocoPhillips,USD,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
INGA NA Equity,ING Groep NV,EUR,Financials,Banking,Banks,Retail Banking
NAB AU Equity,National Australia Bank Ltd,AUD,Financials,Banking,Banks,#N/A N/A
ANZ AU Equity,Australia & New Zealand Bankin,AUD,Financials,Banking,Banks,#N/A N/A
TWX US Equity,Time Warner Inc,USD,Communications,Media,Entertainment Content,#N/A N/A
ESRX US Equity,Express Scripts Holding Co,USD,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,Pharmacy Benefits Mgmt (PBM)
8316 JP Equity,Sumitomo Mitsui Financial Grou,JPY,Financials,Banking,Diversified Banks,#N/A N/A
CL US Equity,Colgate-Palmolive Co,USD,Consumer Staples,Consumer Products,Household Products,Personal Care Products
BBVA SM Equity,Banco Bilbao Vizcaya Argentari,EUR,Financials,Banking,Banks,#N/A N/A
EFA US Equity,iShares MSCI EAFE ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
7267 JP Equity,Honda Motor Co Ltd,JPY,Consumer Discretionary,Automotive,Automobiles,#N/A N/A
SPG US Equity,Simon Property Group Inc,USD,Financials,Real Estate,REIT,Retail REIT
PRU LN Equity,Prudential PLC,GBp,Financials,Insurance,Life Insurance,Life Insurance Premiums
REGN US Equity,Regeneron Pharmaceuticals Inc,USD,Health Care,Biotech & Pharma,Biotech,Commercial Growth Biotech
BT/A LN Equity,BT Group PLC,GBp,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
F US Equity,Ford Motor Co,USD,Consumer Discretionary,Automotive,Automobiles,#N/A N/A
267 HK Equity,CITIC Ltd,HKD,Financials,Banking,Banks,#N/A N/A
MET US Equity,MetLife Inc,USD,Financials,Insurance,Life Insurance,#N/A N/A
VTI US Equity,Vanguard Total Stock Market ET,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
FOXA US Equity,Twenty-First Century Fox Inc,USD,Communications,Media,Entertainment Content,TV Media Networks
BNS CN Equity,Bank of Nova Scotia/The,CAD,Financials,Banking,Diversified Banks,#N/A N/A
601766 CH Equity,CRRC Corp Ltd,CNY,Industrials,Transportation Equipment,Railroad Rolling Stock,Rail Track Components & Sys
TWC US Equity,Time Warner Cable Inc,USD,Communications,Media,Cable & Satellite,#N/A N/A
TEVA IT Equity,Teva Pharmaceutical Industries,ILs,Health Care,Biotech & Pharma,Generic Pharma,#N/A N/A
BG/ LN Equity,BG Group Ltd,GBp,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
NPN SJ Equity,Naspers Ltd,ZAr,Communications,Media,Entertainment Content,TV Media Networks
1 HK Equity,CK Hutchison Holdings Ltd,HKD,Consumer Staples,Retail - Consumer Staples,Food & Drug Stores,Pharmacies & Drug Stores
EPD US Equity,Enterprise Products Partners L,USD,Energy,"Oil, Gas & Coal",Midstream - Oil & Gas,#N/A N/A
OXY US Equity,Occidental Petroleum Corp,USD,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
GAZP RM Equity,Gazprom PJSC,RUB,Energy,"Oil, Gas & Coal",Integrated Oils,#N/A N/A
DOW US Equity,Dow Chemical Co/The,USD,Materials,Chemicals,Basic & Diversified Chemicals,"Organic Resins, Fibers & Rubber"
BLK US Equity,BlackRock Inc,USD,Financials,Asset Management,Investment Management,#N/A N/A
BIDU US Equity,Baidu Inc,USD,Communications,Media,Internet Media,Internet Advertising Portals
883 HK Equity,CNOOC Ltd,HKD,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
HPQ US Equity,HP Inc,USD,Technology,Hardware,Computer Hardware & Storage,Personal Computers
TXN US Equity,Texas Instruments Inc,USD,Technology,Semiconductors,Semiconductor Devices,Analog ICs
NG/ LN Equity,National Grid PLC,GBp,Utilities,Utilities,Utility Networks,Electricity Networks
600016 CH Equity,China Minsheng Banking Corp Lt,CNY,Financials,Banking,Banks,Corporate Banking
